query_id,query_type,query_text,relevant_record_id
65,typo,پلتفورم هوش مسنوعی,7
66,typo,طیاره بی سر نشن براکه,9
67,typo,سطح تشعشات نیروگاه هستوی,12
68,typo,واحدهای گنبد اهنین,15
69,typo,توافقنامه ابراهیم,18
70,typo,حملات میزیلی ایران,23
71,typo,میدان هوایی بین المللی کویت,24
72,typo,میزایل کروز قطر,26
73,typo,وزارت داخله بحرن,30
74,typo,شبکه اجتماعی تروت سوشیل,34
75,typo,تغیر رژیم ایران,40
76,typo,سفر رسمی ترمپ به چن,54
77,typo,روابط واشنگتن و بیجنگ,57
78,typo,فروش تسلیهات تایوان,61
79,typo,بحران اب افغانستان,98
80,typo,خشکسالی در افغانستان,101
81,typo,منابع اب اشامیدنی,104
82,typo,اب زیر زمینی کابل,105
83,typo,شیوع مریضی ایبولا,115
84,typo,ویروس بوندیبوگیو,119
85,typo,علایم اولیه ایبولا,130
86,typo,رابطه دیپلوماتیک با چین,139
87,typo,استقلال رسمی تایوان,141
88,typo,همکاری های دفاای هند و امارات,154
89,typo,سرمایه گزاری پنج میلیارد دالر,160
90,typo,عوارض واردات طله,177
91,partial,اوپن ای آی,3
92,partial,قوای مسلح امریکا,4
93,partial,درک موقعیتی,5
94,partial,زنجیره تأمین,6
95,partial,GenAI.mil,7
96,partial,براکه در ابو ظبی,9
97,partial,سطح تشعشات,12
98,partial,واحدهای گنبد آهنین,15
99,partial,توافق نامه ابراهیم,18
100,partial,حملات میزایلی ایران,23
101,partial,میدان هوایی کویت,24
102,partial,میزایل کروز,26
103,partial,وزارت داخله بحرین,30
104,partial,تروت سوشیل,34
105,partial,تغییر رژیم,40
106,partial,شی جین پینگ,54
107,partial,واشنگتن و بیجینگ,57
108,partial,فروش تسلیحات,61
109,partial,خشکسالی افغانستان,98
110,partial,شیوع خشکسالی,101
111,partial,آب آشامیدنی,104
112,partial,کابل تا سال 2030,105
113,partial,بوندیبوگیو,119
114,partial,علائم اولیه,130
115,partial,اعلام استقلال,141
116,partial,همکاری دفاعی,154
117,partial,پنج میلیارد دالر,160
118,partial,جواهرات طلا,175
119,partial,عوارض واردات,177
120,partial,ساعت بدن,212
121,variant,شرکت های هوش مصنوعی پنتاگون,1
122,variant,شبکه های محرمانه وزارت جنگ,2
123,variant,ادغام تکنالوژی در پنتاگون,3
124,variant,سیاست استفاده سریع از هوش مصنوعی,4
125,variant,بهبود تصمیم گیری عملیاتی,5
126,variant,خطرات زنجیره تأمین,6
127,variant,سامانه GenAI پنتاگون,7
128,variant,حمله پهپادی به نیروگاه براکه,9
129,variant,تشعشعات نیروگاه هسته ای,12
130,variant,ارسال سامانه گنبد آهنین,15
131,variant,روابط اسرائیل و امارات,18
132,variant,حملات موشکی و پهپادی ایران,23
133,variant,حمله به میدان هوایی کویت,24
134,variant,پرتاب موشک کروز به قطر,26
135,variant,آتش سوزی در بحرین,30
136,variant,پیام ترمپ در شبکه اجتماعی,34
137,variant,سقوط احتمالی رژیم ایران,40
138,variant,ملاقات ترمپ با رئیس جمهور چین,54
139,variant,هماهنگی واشنگتن و بیجینگ,57
140,variant,حمایت تسلیحاتی امریکا از تایوان,61
141,variant,کمبود منابع آب افغانستان,98
142,variant,افزایش خشکسالی در افغانستان,101
143,variant,کاهش دسترسی به آب نوشیدنی,104
144,variant,از بین رفتن آب زیرزمینی کابل,105
145,variant,شیوع ایبولا در کانگو,115
146,variant,گونه بوندیبوگیو ویروس ایبولا,119
147,variant,نشانه های بیماری ایبولا,130
148,variant,موضع امریکا درباره استقلال تایوان,141
149,variant,توافق دفاعی هند و امارات,154
150,variant,افزایش مالیات واردات طلا,177
