id,text,word_count,char_count
30,وزارت داخله بحرین گفته است که حمله ایران منجر به آتش سوزی در ساختمان یک شرکت در آن کشور شده است. به گفته این وزارت، نیروهای دفاعی بحرین در 24 ساعت گذشته چهار میزایل و 19 طیاره بی سرنشین ایران را رهگیری کرده است.,44,211
31,همچنین، وزارت دفاع عربستان سعودی گفته است که نیروهای آن کشور چندین طیاره بی سرنشین تهاجمی ایران را رهگیری کرده اند که تلفاتی ناشی از این حملات گزارش نشده است.,30,158
32,این در حالی است که گروه حوثی های یمن که از سوی ایالات متحده به صفت گروه تروریستی تشخیص شده است، روز چهارشنبه حمله جدید میزایلی را بر اسراییل انجام داده است. این گروه گفته است که در هماهنگی با ایران و گروه حزب الله لبنان این حمله را انجام داده است.,52,247
33,دونالد ترمپ، رییس جمهورایالات متحدهٔ امریکا، روز چهارشنبه (اول اپریل) گفت که مجتبی خامنه ای، رهبر جدید ایران، برای پایان یافتن عملیات مشترک نظامی واشنگتن و متحد کلیدی آن اسراییل، خواستار آتش بس با امریکا شده است.,37,212
34,"رییس جمهور ترمپ در پستی در شبکه اجتماعی تروت سوشیل نگاشته است که ایالات متحده زمانی این پیشنهاد رهبر ایران را بررسی خواهد کرد که تنگه هرمز ""باز، آزاد و بدون مانع"" باشد.",33,168
35,"رییس جمهور ترمپ نوشت: ""تا آن زمان، ما ایران را می کوبیم یا طوری که آنان می گویند، به عصر حجر باز می گردانیم. """,25,110
36,رییس جمهور ترمپ وضاحت نداده است که خامنه ای چگونه پیشنهاد آتش بس را با واشنگتن مطرح کرده است.,19,93
37,دونالد ترمپ این اظهارات را در حالی ابراز کرده که قرار است چهارشبه شب به وقت واشنگتن دی سی طی یک سخنرانی، تازه ترین جزییات را در مورد جنگ با ایران، به ملت امریکا ارایه کند.,36,171
38,"رییس جمهور ترمپ این سخنرانی را در حالی ارایه خواهد کرد که مقام های امریکایی می گویند که عملیات نظامی 33روزه به ""خط پایانی"" نزدیک شده است.",27,137
39,"کارولین لیویت، سخنگوی قصر سفید، گفته است که رییس جمهور ترمپ در سخنرانی چهارشنبه شب (ساعت 9 شب به وقت واشنگتن دی سی) ""جزییات مهم"" را در مورد ایران ارایه خواهد کرد.",32,162
40,"مقام های حکومت دونالد ترمپ گفته اند که اردوی ایالات متحده برای دستیابی به اهداف نظامی به شمول تخریب قوای هوایی و بحری ایران و از بین بردن قابلیت رژیم تروریستی ایران برای پرتاب میزایل و کارخانه های تولیدی آن، به ""خوبی به پیش می روند"".",46,233
41,"ترمپ در مورد اهداف نظامی ایالات متحده گفت: ""اگر آنان به میز مذاکره بیایند، این کاری خوب خواهد بود، اما این مهم نیست که آیا آنان میایند یا نه، ما آنان را عقب زده ایم. 15 تا 20 سال طول خواهد کشید تا آنچه را که ما برای شان از بین برده ایم، دو باره بسازند. """,57,254
42,"رییس جمهور ایالات متحده گفت: ""آنان نیرو بحری ندارند، آنان اردو ندارند، نیروهای هوایی ندارند، آنان سیستم مخابراتی ندارند، آنان سیستم های ضد طیاره ندارند، آنان رهبران ندارند. .. تمام رهبران شان از بین رفتند، به همین دلیل است که ما شاهد تغییر رژیم استیم. """,46,253
43,او بار دیگر تاکید کرد که ایالات متحده اجازه نخواهد داد که ایران سلاح هسته ای داشته باشد.,18,88
44,"مارکو روبیو، وزیر خارجهٔ ایالات متحده امریکا، سه شنبه شب در یک مصاحبه با فاکس نیوز، گفت که ایالات متحده در نبرد با ایران به ""خط پایانی"" نزدیک شده است. روبیو افزود، ایران ""با رهبری ملاهای افراطی شیعه مذهب و با داشتن میزایل های قاره پیما که توان رسیدن به ایالات متحده را داشته باشد"" تلاش داشت که به کوریای شمالی ششم مبدل شود.",64,323
45,"روبیو گفت: ""این همان چیزی است که اگر رییس جمهور ترمپ اقدام نمی کرد آنان در نهایت به آن دست می یافتند. """,23,103
46,در همین حال، عملیات اردوی ایالات متحده علیه ایران، روز چهارشنبه نیز ادامه داشت. فرماندهی مرکزی ایالات متحده (سنتکام) گفت که در جریان چندساعت گذشته، نظامیان امریکایی مهمات دقیق را بر اهداف زیرزمینی در عمق ایران، پرتاب کردند.,38,223
47,نیروهای دفاعی اسراییل نیز به حملات و هدف گیری چهره های کلیدی رژیم ایران ادامه داده اند. نیروهای دفاعی اسراییل روز چهارشنبه اعلام کرد که مهدی وفایی، رییس بخش انجینیری قول اردو سپاه قدس در لبنان، را در منطقه محلات ایران کشته شده است.,44,231
48,"اردوی اسراییل در پستی در شبکه اجتماعی ایکس نوشت: ""وفایی پروژه های زیرزمینی را در سراسر لبنان و سوریه پیش می برد و رهبری تلاش ها برای تاسیس و مدیریت تاسیسات زیرزمینی تروریستی برای حزب الله و رژیم اسد را بر عهده داشت. """,44,217
49,"بنیامین نتنیاهو، صدر اعظم اسراییل، در بیانیه ای دربارهٔ عملیات نظامی یک ماهه گفت که عملیات مشترک امریکا و اسراییل ""به طور سیستماتیک در حال سرکوب رژیمی تروریستی (ایران) است که دهه ها فریاد می زد: ""مرگ بر امریکا، مرگ بر اسراییل. """,43,228
50,"او عملیات مشترک نظامی با امریکا را ""همکاری بی سابقه و تاریخی میان خودش و رییس جمهور ترمپ و میان اردوی امریکا و نیروهای دفاعی اسرائیل"" توصیف کرد.",28,144
51,"صدراعظم اسراییل گفت این اتحاد ""رژیم ایران را به لرزه درآورده است"" او پیش بینی کرد ""دیر یا زود، سرنوشت آن سقوط است"".",23,115
52,"ایران حملات امریکا و اسراییل را ""نقض"" منشور سازمان ملل می داند. ایران ""تبادل پیام ها"" با امریکا را تایید می کند اما از برگزاری مذاکرات انکار کرده است.",29,150
53,"دونالد ترمپ گفت: ""من می گویم که این یک موفقیت بزرگ بود. ما به توافقات بزرگی دست یافتیم. ما به توافقات تجارتی بزرگی دست یافتیم. ما روابط بسیار خوبی داریم. اتفاقات زیادی رخ داده است که شما در مورد آنها خواهید شنید. این یک موفقیت فوق العاده بود، فکر می کنم واقعاً یک لحظه تاریخی بود""",56,280
54,رییس جمهور ترمپ که در یک سفر رسمی به چین سفر کرده بود، با شی جین پینگ، رییس جمهور چین، در مورد طیف وسیعی از مسایل، به شمول تایوان، ایران و تجارت، گفتگو کرد.,34,156
55,رییس جمهور امریکا در آخرین روز سفر رسمی خود در بیجینگ گفت که دو طرف نه تنها در مورد تعدادی از مسایل مهم به اجماع رسیده اند، بلکه در مورد بسیاری از مسایل به توافق رسیده و بسیاری از مشکلات را حل کرده اند که به نفع جهان و هر دو کشور خواهد بود.,54,240
56,رییس جمهور شی نیز خاطرنشان کرد که واشنگتن و بیجینگ توافق کرده اند که ارتباطات و هماهنگی را در مورد مسایل منطقه ای و بین المللی تقویت بخشند.,28,139
57,شی جین پینگ گفت که این دیدار برای ارتقای درک متقابل، افزایش اعتماد متقابل و بهبود رفاه مردم هر دو کشور مفید بوده است.,24,117
58,رییس جمهور ترمپ در مصاحبه ای که با فاکس نیوز داشت گفت که رابطه خوبی با رییس جمهور چین دارد و آنان در طول سال ها، بسیاری از مشکلات را حل کرده اند,33,144
59,دونالد ترمپ، در ضیافت شام که به میزبانی شی جین پینگ، همتای چینی اش در بیجینگ برگزار شده بود گفت که او و رییس جمهور شی، دیدگاه های مشابهی در مورد ایران عاری از سلاح هسته ای و باز نگه داشتن تنگه هرمز دارند.,44,204
60,تایوان یکی از موضوعات دیگر مورد بحث میان روسای جمهور ایالات متحده و چین در بیجینگ بود.,17,86
61,پس از پایان سفر رییس جمهور ترمپ به چین، تایوان از دونالد ترمپ، به خاطر حمایت مداومش از صلح و ثبات در این جزیره تشکر کرده است.,27,125
62,"سخنگوی ریاست جمهوری تایوان در پیامی ویدیویی گفت: ""فروش تسلیحات بین تایوان و ایالات متحده نه تنها بخشی از تعهد ایالات متحده به امنیت تایوان است که [این موضوع] به طور خاص در قانون روابط تایوان ذکر شده است - بلکه به عنوان وسیله ای برای بازدارندگی مشترک در برابر تهدیدات منطقه ای نیز محسوب می شود. """,58,295
63,پس از گذشت نه سال، این نخستین سفر یک رییس جمهور امریکا به چین می باشد. دونالد ترمپ آخرین بار در سال 2017 به چین سفر کرده بود.,28,125
64,رییس جمهور ترمپ، روز پنجشنبه حین سخنرانی در ضیافت شام در بیجینگ، از شی جین پینگ رییس جمهور چین و بانوی اول آن کشور دعوت کرد تا به تاریخ 24 سپتمبر به واشنگتن بیایند. دونالد ترمپ گفت که مشتاقانه منتظر پذیرایی از رییس جمهور شی است.,46,228
65,وزارت خارجه چین، روز جمعه تایید کرد که شی جین پینگ، رییس جمهور این کشور در خزان سال روان میلادی، برای انجام سفر رسمی به ایالات متحده بیاید.,28,139
66,دونالد ترمپ، رییس جمهور ایالات متحده روز جمعه 15 می سفر دو روزه اش را به چین پایان داد، سفری که در آن مسایل عمده دو جانبه از تجارت گرفته تا موضوعات عمده جهانی چون جنگ ایران و مسله تایوان میان رهبران دو کشور به بحث گرفته شد.,48,223
67,رییس جمهور ترمپ در روز پایانی سفرش در ژونگنانهای، در ضیافت چاشت مهمان رییس جمهور چین بود. ژونگنانهای اقامتگاه رهبر حزب کمونیست چین است و میزبانی در آنجا، بازتاب دهنده نهایت ارج و احترام به مهمان است.,37,199
68,رییس جمهور ترمپ در این ضیافت گفت که با همتای چینی اش در مورد دست نیافتن ایران به سلاح هسته ای و باز بودن تنگه هرمز نظر مشابهی دارند. او افزود که کاسه صبرش در مورد ایران در حال لبریز شدن است.,42,190
69,آقای ترمپ به خاطر اینکه برای دیدار از ژونگنانهای دعوت شده بود از رییس جمهور شی سپاسگزاری کرد و گفت که سفرش به چین در محراق توجه جهان قرار گرفته و بسیار موفقیت آمیز و فراموش ناشدنی است.,38,184
70,"او گفت: ""می خواهم از شما بسیار زیاد تشکر کنم. این سفر فوق العاده ای بود و فکر می کنم چیزهای خوبی از آن به دست آمد. معاملات فوق العاده تجارتی داشتیم که برای هر دو کشور عالی است. او مردی است که به وی احترام زیادی قایلم. .. .ما مشکلات مختلف زیادی را حل کردیم که دیگران قادر به حل آن نبودند. روابط ما بسیار قوی است. واقعاً باورمندم که کارهای فوق العاده انجام داده ایم. """,78,366
71,رییس جمهور شی جینپینگ گفت که در جریان سفر رییس جمهور ترمپ، دو جانب به تفاهمات مهمی در زمینه حفظ ثبات روابط اقتصادی و تجارتی، گسترش همکاری عملی در عرصه های مختلف و رسیدگی مناسب به دیگر نگرانی ها دست یافتند.,41,205
72,او گفت که با همتای امریکایی اش در خصوص مسایل منطقه و جهان و تقویت هماهنگی به توافقاتی رسیده است و این سفر را زمینه ساز درک و اعتماد دوجانبه و بهبود رفاه مردمان دو کشور خواند. آقای شی همچنان گفت که در جریان سفر رییس جمهور ترمپ روابط جدید میان واشنگتن و بیجینگ بنا نهاده شد.,57,272
73,"شی جینپینگ گفت: ""تا کنون روابط جدید سازنده و استراتیژیک را میان دو کشور ایجاد کرده ایم. می توان گفت که این یک سفر مهم و تاریخی است و ما به تفاهمات زیادی در مورد نتایج همکاری رسیده ایم. """,40,186
74,"هرچند رییس جمهور شی به شرح جزییات گفتگوهایش با رییس جمهور ترمپ در مورد ایران نپرداخت، وزارت خارجه چین با نشر بیانیه صریح نسبت به جنگ ایران ابراز سرخوردگی کرده است. در بیانیه آمده است: ""این جنگ، که هرگز نباید رخ می داد، هیچ دلیلی برای ادامه ندارد. """,49,248
75,رییس جمهور ترمپ در آخرین مصاحبه که در حاشیه سفرش به چین با شبکه خبری فاکس داشت، بدون اینکه به مسایل عمده اختلافی اشاره کند، به شرح دستآوردهای تجارتی سفرش پرداخت و از توافقات در زمینه فروش محصولات زراعتی ایالات متحده به چین، فروش طیاره های ساخت امریکا به چین، خریداری نفت از ایالات متحده و شماری دیگر از قراردادها اشاره کرد و از رهگذر اقتصادی و تجارتی، سفرش را به چین پردستآورد خواند.,74,383
76,اما مارکو روبیو، وزیر خارجه ایالات متحده که رییس جمهور ترمپ را در این سفر همراهی می کند در مصاحبه ای با شبکه خبری ان بی سی گفت که بیجینگ خواستار الحاق تایوان به چین است تا این جزیره یا به میل خود و داوطلبانه از طریق همه پرسی یا رای یا هم به زور به چین ملحق شود.,59,261
77,با این حال، آقای روبیو هشدار داد که اجبار به انجام چنین چیزی اشتباه هولناکی است که پیامدهای ناگوار آن متوجه تمام جهان خواهد بود. روبیو گفت که ایالات متحده به خاطری، موضع خود را در قبال تایوان تغییر نمی دهد، که نمی خواهد چنین اخلالی رخ دهد.,48,239
78,ریاست جمهوری چین به تسلیح تایوان از سوی ایالات متحده، به عنوان مهمترین موضوع در روابط واشنگتن و بیجینگ اشاره کرده است. چین مصرانه در تلاش ملحق کردن تایوان به عنوان بخشی از قلمرو خود است و تاکید دارد که در صورت نیاز، برای رسیدن به این هدف به زور نیز متوسل خواهد شد.,54,264
79,"وزیر خارجه ایالات متحده امریکا گفت که هرگونه تغییر در وضعیت موجود روابط میان ایالات متحده و چین برای دو کشور بد خواهد بود. او افزود که یکی از مسایلی که چین مطرح می کند و ایالات متحده نیز با آن موافق است، ""ثبات استراتیژیک"" در روابط واشنگتن و بیجینگ است، روابط سازنده ای که به گفته روبیو سوتفاهم هایی وجود نداشته باشد که منجر به مناقشه گسترده شود. او تاکید کرد که هرگونه اجبار برای تغییر وضعیت موجود، در روابط امریکا و چین، مشکل زا خواهد بود.",88,440
80,"رییس جمهور دونالد ترمپ در سفر رسمی اش به چین که نخستین سفر وی به آن کشور از سال 2017 به اینسو است، از همتای چینی اش دعوت کرد که به تاریخ 24 سپتمبر به واشنگتن سفر کند. ترمپ گفت: ""ما مشتاقانه منتظر این سفر استیم. """,47,212
81,دونالد ترمپ، رییس جمهور و ملانیا ترمپ، بانوی نخست ایالات متحدهٔ امریکا، روز سه شنبه (28اپریل) از چارلز سوم، پادشاه بریتانیا و ملکه کامیلا در قصر سفید استقبال کردند.,29,164
82,"رییس جمهور ترمپ در مراسمی که ملانیا ترمپ، بانوی نخست ایالات متحده و ملکه کامیلا در آن حضور داشتند از ""پیوند ارزشمند میان ایالات متحده و بریتانیا"" سخن گفت.",29,154
83,"دونالد ترمپ گفت: ""در قرن هایی که از زمان به دست آوردن استقلال مان می گذرد، امریکایی ها هیچ دوستی نزدیک تر از بریتانیایی ها نداشته اند. """,28,136
84,"رییس جمهور ایالات متحده افزود: ""ما ریشهٔ مشترک داریم، به یک زبان سخن می گوییم، ارزش های یکسان داریم و رزمندگان مان زیر دو پرچم سرخ، سفید و آبی از عین تمدن فوق العاده دفاع کرده اند. """,38,182
85,سفر پادشاه بریتانیا به واشنگتن و دیدارش با دونالد ترمپ در حالی صورت می گیرد که هردو رهبر برای تقویت روابط میان ایالات متحده و بریتانیا تلاش می کنند.,29,148
86,شاه چارلز سوم همچنین قرار است پس از چاشت روز سه شنبه (28 اپریل) یک سخنرانی را در مجلس مشترک کانگرس ایالات متحده ایراد کند. در طول 30 سال گذشته این نخستین بار خواهد بود که یک پادشاه بریتانیا در کانگرس ایالات متحده سخنرانی خواهد کرد.,46,231
87,پیش از این ملکه الیزابت دوم، مادر چارلز در سال 1991 در یک جلسه مشترک کانگرس سخنرانی کرده بود.,19,93
88,"پیش از سفر به ایالات متحده، قصر بکنگهم گفته بود که پادشاه ""روابط تاریخی و رابطه دوجانبه مدرن بین بریتانیا و ایالات متحده"" را گرامی خواهدداشت و دوصد و پنجاهمین سالگرد استقلال ایالات متحده از بریتانیا را تجلیل خواهد کرد.",40,218
89,پادشاه بریتانیا پس از سخنرانی در کانگرس، برای ضیافت شب، دوباره به قصر سفید بر خواهد گشت.,17,88
90,سفر چارلز سوم به واشنگتن در پی افزایش تنش ها در روابط ایالات متحده-بریتانیا صورت می گیرد.,17,89
91,رییس جمهور ترمپ هفته گذشته هشدار داد که اگر بریتانیا مالیات خدمات دیجیتلی را بر شرکت های تکنالوژی امریکایی حذف نکند، ممکن بر آن کشور تعرفه وضع کند.,28,147
92,"در حالی که نیروهای امریکایی حملات خود را علیه ایران انجام می دادند، ترمپ از آنچه که او آن را امتناع بریتانیا برای ""مشارکت در سرنگونی رهبری ایران"" یا اقدام برای تامین امنیت تنگه استراتژیک هرمز خواند، انتقاد کرد.",39,210
93,کایر استارمر، صدراعظم بریتانیا، گفته است که کشورش شامل این جنگ نیست و این که او از منافع مردم بریتانیا نمایندگی می کند. بریتانیا، فرانسه و دیگر کشورهای اروپایی بر این بحث کرده اند تا امنیت تنگه هرمز را پس از پایان جنگ تامین کنند.,45,229
94,دونالد ترمپ، رییس جمهور ایالات متحدهٔ امریکا، روز سه شنبه (28اپریل) با چارلز سوم، پادشاه بریتانیا در قصر سفید ملاقات می کنند.,22,125
95,این دیدار در حالی صورت می گیرد که هردو رهبر برای تقویت روابط میان ایالات متحده و بریتانیا تلاش می کنند.,21,103
96,به دنبال مراسم استقبال در قصر سفید که در آن ملانیا ترمپ، بانوی نخست ایالات متحده و ملکه کامیلا نیز حضور خواهند داشت، رییس جمهور ترمپ و چارلز سوم قرار است باهم صحبت کنند.,34,169
97,شاه چارلز سوم همچنین قرار است پس از چاشت روز سه شنبه (28 اپریل) یک سخنرانی را در مجلس مشترک کانگرس ایالات متحده ایراد کند. در طول 30گذشته این نخستین بار خواهد بود که یک پادشاه بریتانیا در کانگرس ایالات متحده سخنرانی خواهد کرد.,44,226
98,ملل متحد در گزارشی اعلام کرده است که بحران آب در افغانستان در سال گذشته میلادی تشدید شده و میزان خشکسالی نسبت به سال پیش از آن تقریباً دو برابر شده است.,32,152
99,بیشتر جمعیت افغانستان به کشاورزی وابسته هستند و کمبود آب می تواند عواقب ویرانگری برای کشوری داشته باشد که در حال حاضر نیز فقر گسترده، ناامنی غذایی و درگیری را تجربه می کند.,33,172
100,برنامه توسعه ملل متحد، یو ان دی پی، در گزارشی گفته است: «دسترسی به منابع آب به طور چشمگیری کاهش یافته است. » این نهاد افزوده که خشکسالی اکنون به «عامل اصلی فشارهای محیط زیستی در تقریباً تمام مناطق افغانستان» بدل شده است.,43,220
101,بر اساس این گزارش، میزان شیوع خشکسالی از 34 درصد در سال 2024 به 64 درصد در سال 2025 افزایش یافته است.,22,101
102,گزارش این نهاد می گوید که مناطق متاثر از غرب افغانستان تا ولایت بدخشان در شمال شرق امتداد دارند؛ جایی که «92 درصد خانواده ها تاثیرات خشکسالی را گزارش کرده اند. »,32,161
103,نجیب الله یوسفی، کارشناس ملل متحد در امور تغییرات اقلیمی، به خبرگزاری فرانسه گفت: «در کشوری که به کشاورزی وابسته است، چنین وضعیتی به ناامنی غذایی منجر می شود. » او همچنین تاکید کرد که مسائل مربوط به آب بر بخش صحت و سلامت نیز تاثیر می گذارد.,48,240
104,گزارش برنامه توسعه ملل نشان می دهد که در فاصله سال های 2024 تا 2025، تعداد « گزارش ها درباره منابع آبی ازکارافتاده یا خشک شده سه برابر شده» و در سطح ملی، میزان دسترسی کلی به آب آشامیدنی از 59 درصد به 44 درصد کاهش یافته است.,48,223
105,یونیسف، صندوق حمایت از کودکان ملل متحد در افغانستان، نیز پیشتر هشدار داده بود که اگر این روند ادامه یابد، کابل تا سال 2030 ممکن است تمام منابع آب زیرزمینی اش را از دست بدهد، هشداری که نگرانی ساکنان این شهر را با گذشت هر روز بیشتر می کند.,49,237
106,اداره ملی حفاظت محیط زیست افغانستان نیز روز پنج شنبه هشدار داد که «آب های زیرزمینی، که منبع اصلی آب آشامیدنی برای بخش بزرگی از جمعیت محسوب می شود، در شهرهای عمده کشور به سرعت در حال کاهش است. »,40,193
107,بر اساس آمار سازمان بین المللی مهاجرت، از سپتامبر 2023 تاکنون بیش از پنج میلیون افغان از ایران و پاکستان به کشور بازگشته اند.,24,125
108,بسیاری از این افراد در تلاش اند زندگی تازه ای را در کابل آغاز کنند، به این امید که این شهرِ در حال گسترش با جمعیتی بیش از شش میلیون نفر، فرصت های بهتری برای کار فراهم کند؛ آن هم در کشوری که نزدیک به نیمی از جمعیت آن به کمک های بشردوستانه وابسته اند.,55,249
109,نجیب الله یوسفی، کارشناس ملل متحد در امور تغییرات اقلیمی، به خبرگزاری فرانسه گفت: «کابل با چالش های متعددی مواجه است؛ جمعیت افزایش یافته، نیاز به آب بیشتر شده و میزان بارندگی برای تغذیه منابع آب های زیرزمینی کافی نیست. »,41,220
110,از سویی هم در شهر کابل، جایی که حدود 80 درصد ساکنان برای تامین نیازهای روزانه آب خود به چاه ها وابسته اند، نزدیک به نیمی از این منابع حیاتی خشک شده اند.,33,152
111,چالش ها تنها به کاهش منابع آبی محدود نمی شود. شماری از شهروندان کابل، از آلودگی منابع آب این شهر نیز شکایت دارند.,23,113
